2020-03-10 17:03:39,148 [MainThread:4264] [D:\jangovenv\venv\lib\site-packages\django\db\backends\utils.py:debug_sql:130] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-03-10 17:03:39,149 [MainThread:4264] [D:\jangovenv\venv\lib\site-packages\django\db\backends\utils.py:debug_sql:130] [DEBUG]- (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2020-03-10 17:03:39,149 [MainThread:4264] [D:\jangovenv\venv\lib\site-packages\django\db\backends\utils.py:debug_sql:130] [DEBUG]- (0.000) SELECT VERSION(); args=None
2020-03-10 17:03:39,333 [MainThread:4264] [D:\jangovenv\venv\lib\site-packages\django\db\backends\utils.py:debug_sql:130] [DEBUG]- (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2020-03-10 17:03:39,336 [MainThread:4264] [D:\jangovenv\venv\lib\site-packages\django\db\backends\utils.py:debug_sql:130] [DEBUG]- (0.000) SHOW FULL TABLES; args=None
2020-03-10 17:03:39,339 [MainThread:4264] [D:\jangovenv\venv\lib\site-packages\django\db\backends\utils.py:debug_sql:130] [DEBUG]- (0.000) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
2020-03-10 17:03:45,990 [MainThread:10880] [D:\jangovenv\venv\lib\site-packages\django\db\backends\utils.py:debug_sql:130] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-03-10 17:03:45,991 [MainThread:10880] [D:\jangovenv\venv\lib\site-packages\django\db\backends\utils.py:debug_sql:130] [DEBUG]- (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2020-03-10 17:03:45,991 [MainThread:10880] [D:\jangovenv\venv\lib\site-packages\django\db\backends\utils.py:debug_sql:130] [DEBUG]- (0.000) SELECT @@sql_mode; args=None
2020-03-10 17:03:45,993 [MainThread:10880] [D:\jangovenv\venv\lib\site-packages\django\db\backends\utils.py:debug_sql:130] [DEBUG]- (0.000) SELECT VERSION(); args=None
2020-03-10 17:03:46,174 [MainThread:10880] [D:\jangovenv\venv\lib\site-packages\django\db\backends\utils.py:debug_sql:130] [DEBUG]- (0.000) SHOW FULL TABLES; args=None
2020-03-10 17:03:46,177 [MainThread:10880] [D:\jangovenv\venv\lib\site-packages\django\db\backends\utils.py:debug_sql:130] [DEBUG]- (0.000) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
2020-03-10 17:03:46,179 [MainThread:10880] [D:\jangovenv\venv\lib\site-packages\django\db\backends\utils.py:debug_sql:130] [DEBUG]- (0.000) SHOW FULL TABLES; args=None
2020-03-10 17:03:46,180 [MainThread:10880] [D:\jangovenv\venv\lib\site-packages\django\db\backends\utils.py:debug_sql:130] [DEBUG]- (0.000) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
2020-03-10 17:03:46,201 [MainThread:10880] [D:\jangovenv\venv\lib\site-packages\django\db\backends\utils.py:debug_sql:130] [DEBUG]- (0.000) SHOW FULL TABLES; args=None
2020-03-10 17:03:46,203 [MainThread:10880] [D:\jangovenv\venv\lib\site-packages\django\db\backends\base\schema.py:execute:133] [DEBUG]- DROP TABLE `juhe_user_menu` CASCADE; (params ())
2020-03-10 17:03:46,302 [MainThread:10880] [D:\jangovenv\venv\lib\site-packages\django\db\backends\utils.py:debug_sql:130] [DEBUG]- (0.094) DROP TABLE `juhe_user_menu` CASCADE; args=()
